y,ds
4298.2,2000-02-01
7496.1,2000-03-01
7044.1,2000-04-01
7454.9,2000-05-01
7496.2,2000-06-01
6970.2,2000-07-01
6986.4,2000-08-01
7128.7,2000-09-01
7229.6,2000-10-01
7538.0,2000-11-01
8682.7,2000-12-01
6345.4,2001-01-01
6797.4,2001-02-01
8249.4,2001-03-01
7942.2,2001-04-01
8062.6,2001-05-01
8093.8,2001-06-01
7414.2,2001-07-01
7810.0,2001-08-01
8118.1,2001-09-01
8389.3,2001-10-01
8806.5,2001-11-01
10018.7,2001-12-01
8633.1,2002-01-01
6848.7,2002-02-01
9378.2,2002-03-01
9281.0,2002-04-01
9160.9,2002-05-01
9362.5,2002-06-01
8716.0,2002-07-01
9089.9,2002-08-01
9350.7,2002-09-01
9487.7,2002-10-01
10035.0,2002-11-01
11463.4,2002-12-01
9630.9,2003-01-01
8538.6,2003-02-01
10687.4,2003-03-01
10732.9,2003-04-01
10911.0,2003-05-01
11443.9,2003-06-01
10993.3,2003-07-01
10719.1,2003-08-01
10560.6,2003-09-01
11470.7,2003-10-01
12237.6,2003-11-01
13596.7,2003-12-01
9694.9,2004-01-01
11001.6,2004-02-01
12812.8,2004-03-01
13129.3,2004-04-01
12872.3,2004-05-01
13540.9,2004-06-01
13150.4,2004-07-01
13254.9,2004-08-01
13406.0,2004-09-01
14018.0,2004-10-01
14369.8,2004-11-01
15269.8,2004-12-01
12879.1,2005-01-01
11138.3,2005-02-01
14002.3,2005-03-01
14386.6,2005-04-01
14989.1,2005-05-01
15859.6,2005-06-01
15175.6,2005-07-01
15395.9,2005-08-01
15764.1,2005-09-01
16354.8,2005-10-01
17043.1,2005-11-01
18002.4,2005-12-01
12923.0,2006-01-01
13697.3,2006-02-01
16621.8,2006-03-01
17411.8,2006-04-01
17328.5,2006-05-01
17966.7,2006-06-01
16842.1,2006-07-01
17437.4,2006-08-01
18127.5,2006-09-01
18654.6,2006-10-01
18967.1,2006-11-01
20389.2,2006-12-01
17479.0,2007-01-01
14203.2,2007-02-01
17775.9,2007-03-01
18846.6,2007-04-01
19115.3,2007-05-01
20239.7,2007-06-01
19561.0,2007-07-01
19397.1,2007-08-01
20355.1,2007-09-01
19877.3,2007-10-01
21192.2,2007-11-01
21849.8,2007-12-01
18735.7,2008-01-01
17000.8,2008-02-01
21128.7,2008-03-01
21333.7,2008-04-01
22700.2,2008-05-01
23935.7,2008-06-01
22028.8,2008-07-01
22214.2,2008-08-01
22869.9,2008-09-01
21927.6,2008-10-01
22697.2,2008-11-01
21994.0,2008-12-01
17234.5,2009-01-01
