Num,Date
28354.3,2017年10月
29811.9,2017年9月
29076.9,2017年8月
29438.1,2017年7月
30835.3,2017年6月
29777.9,2017年5月
29453.0,2017年4月
29976.3,2017年3月
,2017年2月
,2017年1月
31097.7,2016年12月
30800.7,2016年11月
28185.2,2016年10月
27696.4,2016年9月
27808.9,2016年8月
27000.7,2016年7月
27754.3,2016年6月
26375.1,2016年5月
26803.2,2016年4月
29379.8,2016年3月
,2016年2月
,2016年1月
31658.9,2015年12月
32022.9,2015年11月
31694.6,2015年10月
31268.1,2015年9月
30862.9,2015年8月
30665.9,2015年7月
32671.9,2015年6月
30938.5,2015年5月
29801.7,2015年4月
30559.2,2015年3月
,2015年2月
,2015年1月
,2014年12月
,2014年11月
,2014年10月
,2014年9月
,2014年8月
,2014年7月
,2014年6月
,2014年5月
,2014年4月
,2014年3月
,2014年2月
,2014年1月
,2013年12月
,2013年11月
,2013年10月
,2013年9月
,2013年8月
,2013年7月
,2013年6月
,2013年5月
,2013年4月
,2013年3月
,2013年2月
,2013年1月
,2012年12月
,2012年11月
,2012年10月
,2012年9月
,2012年8月
,2012年7月
,2012年6月
,2012年5月
,2012年4月
,2012年3月
,2012年2月
,2012年1月
,2011年12月
,2011年11月
,2011年10月
,2011年9月
,2011年8月
,2011年7月
,2011年6月
,2011年5月
,2011年4月
32088.9,2011年3月
24749.4,2011年2月
26826.3,2011年1月
,2010年12月
,2010年11月
,2010年10月
,2010年9月
,2010年8月
,2010年7月
,2010年6月
28386.4,2010年5月
26839.1,2010年4月
27980.8,2010年3月
21298.0,2010年2月
25610.1,2010年1月
28062.3,2009年12月
28894.1,2009年11月
27306.8,2009年10月
26316.4,2009年9月
26074.9,2009年8月
25781.8,2009年7月
27908.5,2009年6月
24841.1,2009年5月
22980.0,2009年4月
23342.7,2009年3月
19656.5,2009年2月
17234.5,2009年1月
21994.0,2008年12月
22697.2,2008年11月
21927.6,2008年10月
22869.9,2008年9月
22214.2,2008年8月
22028.8,2008年7月
23935.7,2008年6月
22700.2,2008年5月
21333.7,2008年4月
21128.7,2008年3月
17000.8,2008年2月
18735.7,2008年1月
21849.8,2007年12月
21192.2,2007年11月
19877.3,2007年10月
20355.1,2007年9月
19397.1,2007年8月
19561.0,2007年7月
20239.7,2007年6月
19115.3,2007年5月
18846.6,2007年4月
17775.9,2007年3月
14203.2,2007年2月
17479.0,2007年1月
20389.2,2006年12月
18967.1,2006年11月
18654.6,2006年10月
18127.5,2006年9月
17437.4,2006年8月
16842.1,2006年7月
17966.7,2006年6月
17328.5,2006年5月
17411.8,2006年4月
16621.8,2006年3月
13697.3,2006年2月
12923.0,2006年1月
18002.4,2005年12月
17043.1,2005年11月
16354.8,2005年10月
15764.1,2005年9月
15395.9,2005年8月
15175.6,2005年7月
15859.6,2005年6月
14989.1,2005年5月
14386.6,2005年4月
14002.3,2005年3月
11138.3,2005年2月
12879.1,2005年1月
15269.8,2004年12月
14369.8,2004年11月
14018.0,2004年10月
13406.0,2004年9月
13254.9,2004年8月
13150.4,2004年7月
13540.9,2004年6月
12872.3,2004年5月
13129.3,2004年4月
12812.8,2004年3月
11001.6,2004年2月
9694.9,2004年1月
13596.7,2003年12月
12237.6,2003年11月
11470.7,2003年10月
10560.6,2003年9月
10719.1,2003年8月
10993.3,2003年7月
11443.9,2003年6月
10911.0,2003年5月
10732.9,2003年4月
10687.4,2003年3月
8538.6,2003年2月
9630.9,2003年1月
11463.4,2002年12月
10035.0,2002年11月
9487.7,2002年10月
9350.7,2002年9月
9089.9,2002年8月
8716.0,2002年7月
9362.5,2002年6月
9160.9,2002年5月
9281.0,2002年4月
9378.2,2002年3月
6848.7,2002年2月
8633.1,2002年1月
10018.7,2001年12月
8806.5,2001年11月
8389.3,2001年10月
8118.1,2001年9月
7810.0,2001年8月
7414.2,2001年7月
8093.8,2001年6月
8062.6,2001年5月
7942.2,2001年4月
8249.4,2001年3月
6797.4,2001年2月
6345.4,2001年1月
8682.7,2000年12月
7538.0,2000年11月
7229.6,2000年10月
7128.7,2000年9月
6986.4,2000年8月
6970.2,2000年7月
7496.2,2000年6月
7454.9,2000年5月
7044.1,2000年4月
7496.1,2000年3月
4298.2,2000年2月
6614.0,2000年1月
